molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value,pChEMBL_value
CHEMBL22403,Nc1nc(N)c(-c2cccc(Cl)c2)c(CCOCCCOc2ccccc2)n1,active,0.4,9.4
CHEMBL21778,CCc1nc(N)nc(N)c1-c1ccc(C)cc1,active,6.9,8.16
CHEMBL161009,CCCCCCC1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1,active,5.5,8.26
CHEMBL22403,Nc1nc(N)c(-c2cccc(Cl)c2)c(CCOCCCOc2ccccc2)n1,active,0.7,9.15
CHEMBL346963,CCCCCCCC1N=C(N)N=C(N)N1c1cccc(Cl)c1,active,4.0,8.4
CHEMBL22146,COc1cc(Cc2cnc(N)nc2N)ccc1OCc1ccccc1,active,2.2,8.66
CHEMBL333779,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCCCc1ccccc1,active,10.6,7.97
CHEMBL118602,CCc1nc(N)nc(N)c1Cc1ccc(OCc2ccccc2)c(OC)c1,active,760.0,6.12
CHEMBL416376,COc1cc(COc2ccc(Cc3cnc(N)nc3N)cc2)cc(OC)c1OC,inactive,21120.0,4.67
CHEMBL419055,CCc1nc(N)nc(N)c1Cc1cc(OC)c(OC)c(OC)c1,active,116.4,6.93
CHEMBL419055,CCc1nc(N)nc(N)c1Cc1cc(OC)c(OC)c(OC)c1,active,360.0,6.44
CHEMBL161451,NC1=NC(c2ccc(Oc3ccccc3)cc2)N(c2cccc(Cl)c2)C(N)=N1,active,4.0,8.4
CHEMBL365894,N/C(=N/O)c1ccc(Oc2c(Cl)cncc2Cl)cc1,inactive,23600.0,4.63
CHEMBL365894,N/C(=N/O)c1ccc(Oc2c(Cl)cncc2Cl)cc1,inactive,24400.0,4.61
CHEMBL323554,C/N=C(\S)NNC(=O)c1cccn(Cc2cccc(Cl)c2)c1=O,inactive,19400.0,4.71
CHEMBL97598,C/C(=N\N=C(/N)S)c1ccc(Oc2c(Cl)cncc2Cl)cc1,active,900.0,6.05
CHEMBL94470,N=C(S)N/N=C/c1ccc(Oc2ncc(C(F)(F)F)cc2Cl)cc1,intermediate,9300.0,5.03
CHEMBL747,CC1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1,active,2.6,8.59
CHEMBL416552,CCCCCCc1nc(N)nc(N)c1-c1ccccc1,intermediate,1300.0,5.89
CHEMBL118425,Nc1ncc(Cc2ccc(OCCCOCCCOc3ccccc3)cc2)c(N)n1,active,107.7,6.97
CHEMBL21691,Nc1nc(N)c(-c2ccc(Cl)cc2)c(CCCc2ccccc2)n1,active,13.9,7.86
CHEMBL278813,COc1ccc(CCCc2nc(N)nc(N)c2-c2cccc(Cl)c2)cc1,active,2.2,8.66
CHEMBL278813,COc1ccc(CCCc2nc(N)nc(N)c2-c2cccc(Cl)c2)cc1,active,6.0,8.22
CHEMBL22138,Nc1ncc(Cc2ccc(OCc3ccccc3)c(OCc3ccccc3)c2)c(N)n1,active,14.5,7.84
CHEMBL95567,NNc1nc2ccccc2nc1NN,intermediate,3400.0,5.47
CHEMBL95567,NNc1nc2ccccc2nc1NN,inactive,11400.0,4.94
CHEMBL95567,NNc1nc2ccccc2nc1NN,intermediate,9700.0,5.01
CHEMBL21407,COC(=O)CCCc1nc(N)nc(N)c1-c1ccccc1,active,3.3,8.48
CHEMBL89959,CCC1N=C(N)N=C(N)N1c1ccc(C)cc1,active,5.9,8.23
CHEMBL94281,CC(C)C1N=C(N)N=C(N)N1c1ccc(Br)cc1,active,30.0,7.52
CHEMBL92182,Cc1ccc(N2C(N)=NC(N)=NC2C)cc1,active,23.0,7.64
CHEMBL544227,CC1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1.Cl,active,1.5,8.82
CHEMBL95609,N/C(=N\O)c1cccc(CS(=O)(=O)c2ccc(Cl)cc2)c1,inactive,34500.0,4.46
CHEMBL243185,NC(=S)N/N=C/c1ccccc1,inactive,28900.0,4.54
CHEMBL747,CC1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1,intermediate,3700.0,5.43
CHEMBL278813,COc1ccc(CCCc2nc(N)nc(N)c2-c2cccc(Cl)c2)cc1,active,410.0,6.39
CHEMBL21691,Nc1nc(N)c(-c2ccc(Cl)cc2)c(CCCc2ccccc2)n1,active,15.1,7.82
CHEMBL34259,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,active,84.0,7.08
CHEMBL5406769,CCc1nc(N)nc(N)c1Cc1ccc(-c2cccc(C(=O)OC)c2)cc1.Cl,active,0.29,9.54
CHEMBL443013,CCCC1N=C(N)N=C(N)N1c1ccc(C)cc1,active,188.0,6.73
CHEMBL93484,CC1N=C(N)N=C(N)N1c1ccc(Cl)cc1,active,4.1,8.39
